called,called_passive,reason_ambig,reason_unambig
called,was called by,is flying abroad soon,wanted to ask a question
pinged,was pinged by,is traveling abroad tomorrow,wanted to share some updates
contacted,was contacted by,is leaving the town soon,had a story to tell
sent a message to,was sent a message by,is moving abroad soon,wanted to apologize
wrote a letter to,was written a letter by,is leaving town next week,was looking for suggestions
emailed,was emailed by,is attending a conference next week,was seeking advice
texted,was texted by,has an important interview tomorrow,wanted to catch up
left a voicemail for,was left a voicemail by,had been on leave for a long time,wanted to get some clarification
left a note for,was left a note by,was upset,was seeking feedback
