passed,passed_pp,DO,prep,event_ambig,event_unambig
asked,asked,a second question,before,went abroad,went ahead answering the first one
asked,asked,one more question,before,ran to the largest airport in the area,ran out of time to answer more questions
asked,asked,a question,after,went to the conference,started accepting questions
asked,asked,about the details,after,came back from work,briefly introduced the plan to him
baked,baked,a cake,before,had lunch,asked for one
baked,baked,some egg tarts,after,got off work,told him to do so
baked,baked,some more cookies,after,finished dinner,finished eating the old ones
baked,baked,some banana bread,before,went to the family dinner,said that he wanted some
bought,bought,a pizza,after,returned from hiking,asked for more food
bought,bought,a drink,after,arrived at the party,begged him to do so
bought,bought,a painting,after,answered a phone call at the gallery,requested a gift at the gallery
bought,bought,a box of snacks,after,finished the discussion session,finished the previous box
brought,brought,a book,before,went to the conference,asked him to do so
brought,brought,some flowers,after,came back from school,went to the flower shop
brought,brought,some cookies,after,said that he had finished the exam,said that he was hungry
brought,brought,a gift,after,moved in,invited him to his birthday party
built,built,a house,after,returned from the army,paid him to do this job
built,built,a snowman,after,said he wanted to watch a movie,said he wanted one
built,built,a castle,after,hired a boat to explore local creeks,hired him to be the chief architect
built,built,a garden,after,earned a billion dollars,expressed the desire of owning a garden
gave,given,some comic books,after,mentioned that he ate ten apples,mentioned that he wanted some
gave,given,a sticker,after,ate the dessert,asked for one
rented,rented,a truck,before,left the city,reached out for help
gave,given,a laptop,before,went to the meeting,submitted a request for this
gave,given,some money,before,went on vacation,asked to borrow some
gave,given,a pencil,after,came back from school,asked for something to write with
gave,given,a call,before,got to the airport,waited too long for the call
gave,given,a slice of chocolate cake,after,went for a tour,requested some dessert
gave,given,some mineral water,after,got up in the morning,asked him to do so
gave,given,a dictionary,before,left the classroom,needed it
gave,given,some coffee beans,before,started moving out,started to take coffee classes
handed,handed,a piece of white paper,before,asked a question,ran out of draft paper
handed,handed,a black pen,after,read the book,was ready to sign the document
handed,handed,some cards,after,got to the graduation party,joined the board game
handed,handed,a letter,after,arrived at the award ceremony,told him to write one
lent,lent,the book,after,asked him a few questions,asked to borrow it from him
lent,lent,some money,before,answered the questions,asked him to do so
lent,lent,a pencil,after,got to the classroom,lost his own
lent,lent,a sports car,before,went abroad,decided to rent online
made,made,a cake,after,went back home,requested some sweet food
made,made,some breakfast,before,went to work,became too hungry
made,made,some tea,after,took a short power nap,came to get more tea
made,made,a square pizza,before,went out,submitted the order
passed,passed,the book,before,submitted the assignment,asked him to do so
passed,passed,a pen,before,lost track of time,demanded something to write
passed,passed,a cup of coffee,after,tasted the dessert,went to get a refill
passed,passed,the ball,before,became too tired towards the end of the game,got to an excellent shooting position
played,played,a beautiful song,after,started drinking,asked for some background music
played,played,a video,after,asked for an extension,asked for more evidence
played,played,some classical music,before,went to sleep,requested a different genre
played,played,a recording,before,told him the story,started repeating the sounds
sang,sung,an old jazz song,before,left the party,told him to stop
sang,sung,a short piece,before,had dinner,encouraged him to sing more
sang,sung,some folk songs,before,did housework,got bored
sang,sung,a beautiful song,after,watched a movie,accepted him into the glee club
sent,sent,some roses,before,left the celebration,told him to buy lilies
sent,sent,a gift,before,graduated from the university,asked him not to do so
sent,sent,a message,before,reached the library,reached out
sent,sent,the report,before,left the computer lab,reminded him to submit one
showed,shown,an example picture,before,told the truth,started drawing
showed,shown,the edited video,before,started the dance performance,asked to view the original version
showed,shown,an elegant hat,before,started singing,asked about the price
showed,shown,a photo,after,told him the story,asked for some evidence
sold,sold,the sports car,after,got a new job offer,offered a reasonable price
sold,sold,an apartment,before,had ever heard about this story,made an offer that exceeds the market value
sold,sold,a bed frame and a sofa,before,left for a business trip,said that he needed furniture
sold,sold,a digital piano,before,went to the Poconos for a ski trip,went to a local retailer to try out different models
taught,taught,skiing,after,took another leave,mentioned this request several times
taught,taught,cooking,before,graduated,had ever learned it in his life
taught,taught,how to sing,before,decided to start a new career later in his life,decided to receive professional vocal training later in his life
taught,taught,how to shop for the cheapest books,before,washed the dishes,asked for instructions
told,told,a story,before,went to sleep on the sofa,indicated an interest in hearing the story
told,told,a joke,after,came to lie on the beach,got him to say something funny
told,told,the bad news,before,left the exam room,learned about it on TV
told,told,the plan,before,arrived at the stadium,asked about it
wrote,written,a few letters,after,went to the army,encouraged him to reach out
wrote,written,a short poem,before,invited him to attend some vocal training,invited him to compose an original verse
wrote,written,a short message,after,finished the last lesson,told him to do so
rented,rented,a graduation gown,after,went back from vacation,missed the deadline for placing the order
rented,rented,a nice camera,before,mentioned his favorite flower several times,bought one from his neighbor
rented,rented,a spacious room,after,indicated an interest in cleaning the room together,mentioned that he was looking for housing
